VoiceClip_No,TextTranscript,label,processed_content
Voice238,number registered,Non,number registered
Voice87,problem help,Non,problem help
Voice204,problem help,Non,problem help
Voice66,got line shifted shifted house colombo got telephone line working want know working,Non,got line shifted shifted house colombo got telephone line working want know working
Voice237,line disconnected due arrears payment paid full reconnected line,Non,line disconnected due arrears payment paid full reconnected line
Voice47,made complaint regarding internet connection still get reply please check whether,Non,made complaint regarding internet connection still get reply please check whether
Voice95,want know difference monthly charge payable,Non,want know difference monthly charge payable
voice11,interested fiber optic provide information packages offer,Non,interested fiber optic provide information packages offer
Voice47,agent follow issue reported previous could kindly tell report,Non,agent follow issue reported previous could kindly tell report
Voice6,would like add tell much used peak,Non,would like add tell much used peak
Voice75,sometimes get delay getting response,Non,sometimes get delay getting response
Voice188,details fiber,Non,details fiber
Voice87,two slt connections name want disconnect one inform,Non,two slt connections name want disconnect one inform
Voice75,today think lightning connection got technician check phone,Non,today think lightning connection got technician check phone
Voice90,know much minimum pay get back connection back,Non,know much minimum pay get back connection back
Voice189,want change address monthly bill sent,Non,want change address monthly bill sent
Voice212,problem help,Non,problem help
Voice131,could please give solution speedup wifi,Non,could please give solution speedup wifi
Voice78,bill showing charges service never check charges,Non,bill showing charges service never check charges
Voice19,settled balance today still get confirmation know,Non,settled balance today still get confirmation know
Voice208,bill sent wrong,Non,bill sent wrong
Voice245,got line shifted shifted house colombo got telephone line working want know working,Non,got line shifted shifted house colombo got telephone line working want know working
Voice204,agent follow issue reported previous could kindly tell report,Non,agent follow issue reported previous could kindly tell report
Voice25,wish sign prepaid billing assist enrollment process provide details features,Non,wish sign prepaid billing assist enrollment process provide details features
Voice88,bill showing charges premium service,Non,bill showing charges premium service
Voice245,noises coming internet,Non,noises coming internet
Voice104,check oustanding balance number,Non,check oustanding balance number
Voice121,know current price fiber connection,Non,know current price fiber connection
Voice88,check let know last day done payment much pay,Non,check let know last day done payment much pay
Voice134,wanted express concern recent service technician seemed unsure problem arrange another visit,Non,wanted express concern recent service technician seemed unsure problem arrange another visit
Voice208,want change address monthly bill sent,Non,want change address monthly bill sent
Voice163,bill showing charges premium service,Non,bill showing charges premium service
Voice40,billing portal displaying recent,Non,billing portal displaying recent
Voice129,experiencing issues internet work together troubleshoot resolve appreciate assistance ensuring smooth thank,Non,experiencing issues internet work together troubleshoot resolve appreciate assistance ensuring smooth thank
Voice34,want log complaint internet potv red color indicator appearing reason behind,Non,want log complaint internet potv red color indicator appearing reason behind
Voice114,poor signal months many occasions customer care resolved yet,Non,poor signal months many occasions customer care resolved yet
Voice24,want add data entertainmet,Non,want add data entertainmet
Voice155,want shift another data package one using right enough request change package,Non,want shift another data package one using right enough request change package
voice10,technician issue still next,Non,technician issue still next
Voice30,problem help,Non,problem help
Voice117,add,Non,add
Voice114,get bill email regularly,Non,get bill email regularly
Voice20,know amount pay month decemeber november,Non,know amount pay month decemeber november
Voice165,regarding two one phone one fiber laid electrical stuck hanging electrical,Non,regarding two one phone one fiber laid electrical stuck hanging electrical
Voice237,want increase increase thespeed upload fiber reconnect,Non,want increase increase thespeed upload fiber reconnect
Voice17,wish sign prepaid billing assist enrollment process provide details features,Non,wish sign prepaid billing assist enrollment process provide details features
Voice188,receive bill,Non,receive bill
Voice64,want know whether router,Non,want know whether router
Voice2,adsl connection upgrade fiber optic could please tell process,Non,adsl connection upgrade fiber optic could please tell process
Voice202,could please give solution speedup wifi,Non,could please give solution speedup wifi
Voice127,already made complaint change name addresses,Non,already made complaint change name addresses
Voice44,need breakdown charges,Non,need breakdown charges
Voice249,get bill email regularly,Non,get bill email regularly
Voice216,peo sports channels,Non,peo sports channels
Voice70,much pay reactivate connection,Non,much pay reactivate connection
voice11,problem help,Non,problem help
Voice119,want know whether router,Non,want know whether router
Voice38,adsl connection upgrade fiber optic could please tell process,Non,adsl connection upgrade fiber optic could please tell process
Voice 45,today payment get message regarding payment done usually pay come today,Non,today payment get message regarding payment done usually pay come today
Voice68,billing portal displaying recent,Non,billing portal displaying recent
Voice188,know amount pay month decemeber november,Non,know amount pay month decemeber november
Voice246,know much used also pricing,Non,know much used also pricing
Voice114,peo sports channels,Non,peo sports channels
voice14,check let know last day done payment much pay,Non,check let know last day done payment much pay
Voice53,noises coming internet,Non,noises coming internet
Voice104,internet speed much slower end increase speed,Non,internet speed much slower end increase speed
Voice238,router los bar blinking red right need make high priority business cannot anything without internet,Non,router los bar blinking red right need make high priority business cannot anything without internet
Voice34,settled balance usually get sms paid check resolve whether done payment,Non,settled balance usually get sms paid check resolve whether done payment
