VoiceClip_No,TextTranscript,label,processed_content
Voice49,check let know last day done payment much pay,Non,check let know last day done payment much pay
Voice237,indicated one light working earlier bulbs working one bulb working,Non,indicated one light working earlier bulbs working one bulb working
Voice99,know get physical bills anymore,Non,know get physical bills anymore
Voice32,sometimes get delay getting response,Non,sometimes get delay getting response
Voice20,know current price fiber connection,Non,know current price fiber connection
Voice99,internet connection using right really slow speed connection,Non,internet connection using right really slow speed connection
Voice77,billing portal displaying recent,Non,billing portal displaying recent
Voice139,want know whether router,Non,want know whether router
Voice157,technician issue still next,Non,technician issue still next
Voice38,need breakdown charges,Non,need breakdown charges
Voice163,observed increase seeking clarification additional,Non,observed increase seeking clarification additional
Voice47,los light blinking red color router got days back know reason number,Non,los light blinking red color router got days back know reason number
Voice34,want change address monthly bill sent,Non,want change address monthly bill sent
voice10,yes yesterday made complaint telephone rain big blackout came island wide powercut power cut router gone,Non,yes yesterday made complaint telephone rain big blackout came island wide powercut power cut router gone
Voice190,poor signal months many occasions customer care resolved yet,Non,poor signal months many occasions customer care resolved yet
Voice80,wifi connection peo stopped working since last send someone check,Non,wifi connection peo stopped working since last send someone check
Voice71,want check available network seems slowed,Non,want check available network seems slowed
Voice38,peo sports channels,Non,peo sports channels
Voice104,receive bill,Non,receive bill
Voice145,indicated one light working earlier bulbs working one bulb working,Non,indicated one light working earlier bulbs working one bulb working
Voice105,possibly disconnection due loss made late made payment,Non,possibly disconnection due loss made late made payment
Voice88,interested internet provide details,Non,interested internet provide details
Voice80,router los bar blinking red right need make high priority business cannot anything without internet,Non,router los bar blinking red right need make high priority business cannot anything without internet
Voice71,check tell balance,Non,check tell balance
Voice71,recently moved colombo update address changes needed billing information,Non,recently moved colombo update address changes needed billing information
Voice139,check oustanding balance number,Non,check oustanding balance number
Voice114,line disconnected due arrears payment paid full reconnected line,Non,line disconnected due arrears payment paid full reconnected line
Voice121,wifi connection peo stopped working since last send someone check,Non,wifi connection peo stopped working since last send someone check
Voice7,wifi connection peo stopped working since last send someone check,Non,wifi connection peo stopped working since last send someone check
Voice70,stuck bad internet connection broken,Non,stuck bad internet connection broken
Voice269,got line shifted shifted house colombo got telephone line working want know working,Non,got line shifted shifted house colombo got telephone line working want know working
Voice66,poor signal months many occasions customer care resolved yet,Non,poor signal months many occasions customer care resolved yet
Voice1,activate meet max package know much data given also price charged package,Non,activate meet max package know much data given also price charged package
Voice126,internet speed much slower end increase speed,Non,internet speed much slower end increase speed
Voice20,observed increase seeking clarification additional,Non,observed increase seeking clarification additional
Voice201,check oustanding balance number,Non,check oustanding balance number
Voice62,experiencing issues internet work together troubleshoot resolve appreciate assistance ensuring smooth thank,Non,experiencing issues internet work together troubleshoot resolve appreciate assistance ensuring smooth thank
Voice71,want add data entertainmet,Non,want add data entertainmet
Voice149,stuck bad internet connection broken,Non,stuck bad internet connection broken
Voice243,experiencing issues internet work together troubleshoot resolve appreciate assistance ensuring smooth thank,Non,experiencing issues internet work together troubleshoot resolve appreciate assistance ensuring smooth thank
Voice58,made complaints last still one attending resolved still noises internet,Non,made complaints last still one attending resolved still noises internet
Voice145,settled balance today still get confirmation know,Non,settled balance today still get confirmation know
Voice159,want know whether router,Non,want know whether router
Voice16,change packages anytime using,Non,change packages anytime using
Voice70,know much minimum pay get back connection back,Non,know much minimum pay get back connection back
