VoiceClip_No,TextTranscript,label,processed_content
Voice157,check tell balanc,Non,check tell balanc
Voice212,nois come telephon internet work,Non,nois come telephon internet work
Voice142,would like add also want upgard internert packag,Non,would like add also want upgard internert packag
Voice173,bill show charg premium servic cancel,Non,bill show charg premium servic cancel
Voice95,could pleas give solut speedup wifi speed,Non,could pleas give solut speedup wifi speed
Voice126,wifi connect peo stop work sinc last send someon check problem,Non,wifi connect peo stop work sinc last send someon check problem
Voice108,know much use month also price cost,Non,know much use month also price cost
voice33,problem connect two light other work power button work button work mean light telephon line also connect router,Non,problem connect two light other work power button work button work mean light telephon line also connect router
Voice249,observ increas bill seek clarif addit charg,Non,observ increas bill seek clarif addit charg
Voice19,settl balanc today usual get sm confirm today paid 1300 check resolv whether done payment,Non,settl balanc today usual get sm confirm today paid 1300 check resolv whether done payment
Voice145,know amount pay month decemeb novemb,Non,know amount pay month decemeb novemb
Voice208,know amount pay month decemeb novemb,Non,know amount pay month decemeb novemb
Voice204,actual today morn think lightn rain connect got lost,Non,actual today morn think lightn rain connect got lost
Voice163,ye hello yesterday made complaint telephon rain big blackout came island wide powercut power cut router gone,Non,ye hello yesterday made complaint telephon rain big blackout came island wide powercut power cut router gone
Voice6,wifi connect peo stop work sinc last send someon check problem,Non,wifi connect peo stop work sinc last send someon check problem
Voice64,need know payabal amount connect,Non,need know payabal amount connect
Voice49,get text messag say much due pay someth like want get bill make payment,Non,get text messag say much due pay someth like want get bill make payment
Voice139,receiv bill month,Non,receiv bill month
Voice19,wish sign prepaid bill plan assist enrol process provid detail plan featur term,Non,wish sign prepaid bill plan assist enrol process provid detail plan featur term
Voice2,want know got messag say pay arrea upto octob otherwis line disconnect tell arrear upto octob minimum payment pay,Non,want know got messag say pay arrea upto octob otherwis line disconnect tell arrear upto octob minimum payment pay
Voice95,want shift anoth data packag one use right enough request chang packag,Non,want shift anoth data packag one use right enough request chang packag
Voice245,detail fiber connect,Non,detail fiber connect
Voice32,get text messag say much due pay someth like want get bill make payment,Non,get text messag say much due pay someth like want get bill make payment
Voice40,hello interest fiber optic servic provid inform packag offer connect,Non,hello interest fiber optic servic provid inform packag offer connect
Voice142,peo sport channel work,Non,peo sport channel work
Voice269,wifi work technic check anyth end,Non,wifi work technic check anyth end
Voice31,recent move colombo updat address file also chang need bill inform,Non,recent move colombo updat address file also chang need bill inform
Voice216,receiv late payment notic paid check issu pleas,Non,receiv late payment notic paid check issu pleas
Voice134,settl balanc today usual get sm confirm today paid 1300 check resolv whether done payment,Non,settl balanc today usual get sm confirm today paid 1300 check resolv whether done payment
Voice80,bill show charg premium servic cancel,Non,bill show charg premium servic cancel
Voice2,number regist,Non,number regist
Voice64,wifi need technic offic extrem urgent,Non,wifi need technic offic extrem urgent
Voice52,work alway reconnect issu,Non,work alway reconnect issu
Voice50,today payment get messag regard payment done usual pay come sm today come call,Non,today payment get messag regard payment done usual pay come sm today come call
Voice142,check payment bank receipt found router account number put addit digit may gone give detail,Non,check payment bank receipt found router account number put addit digit may gone give detail
Voice59,know reman peak time,Non,know reman peak time
Voice121,work alway reconnect issu,Non,work alway reconnect issu
 Voice101                      ,nois come telephon internet work,Non,nois come telephon internet work
Voice238,poor signal month inform mani occas custom care resolv yet,Non,poor signal month inform mani occas custom care resolv yet
Voice24,check let know last day done payment much pay,Non,check let know last day done payment much pay
Voice53,notic incorrect charg bill review correct urgent need resolv,Non,notic incorrect charg bill review correct urgent need resolv
voice12,poor signal month inform mani occas custom care resolv yet,Non,poor signal month inform mani occas custom care resolv yet
voice12,phone got disconnect late payment resolv connect back,Non,phone got disconnect late payment resolv connect back
Voice1,settl balanc today still get confirm know reason,Non,settl balanc today still get confirm know reason
Voice88,need breakdown charg bill,Non,need breakdown charg bill
Voice201,problem onlin payment system tri morn say avail,Non,problem onlin payment system tri morn say avail
Voice216,settl balanc today usual get sm confirm today paid 1300 check resolv whether done payment,Non,settl balanc today usual get sm confirm today paid 1300 check resolv whether done payment
Voice40,problem bill help understand,Non,problem bill help understand
voice10,want shift anoth data packag one use right enough request chang packag,Non,want shift anoth data packag one use right enough request chang packag
Voice243,abl add number call right,Non,abl add number call right
Voice66,bill show charg premium servic cancel,Non,bill show charg premium servic cancel
voice10,phone technician check phone connect,Non,phone technician check phone connect
Voice178,line disconnect due arrear payment paid full amount reconnect line,Non,line disconnect due arrear payment paid full amount reconnect line
Voice189,wait line sinc septemb almost month bad custom servic get connect,Non,wait line sinc septemb almost month bad custom servic get connect
Voice66,technician visit issu still next,Non,technician visit issu still next
